+-----------------+------+-----------------+-------+----+----------------+------------------+------------------------+--------+
| Number of Nodes |  %   | Number of Edges | (%) k | k  | Clique size k? | Basic Operations |          Time          | Memory |
|        14       |  50  |        46       |   75  | 10 |     False      |       259        |   9.918212890625e-05   |  0.0   |
|        14       |  75  |        68       |   12  | 1  |     False      |        1         | 8.106231689453125e-06  |  0.0   |
|        14       |  75  |        68       |   25  | 3  |      True      |        6         |   1.52587890625e-05    |  0.0   |
|        14       |  75  |        68       |   50  | 7  |     False      |       330        | 6.413459777832031e-05  |  0.0   |
|        14       |  75  |        68       |   75  | 10 |     False      |       330        | 0.00011110305786132812 |  0.0   |
|        15       | 12.5 |        13       |   12  | 1  |     False      |        1         | 1.0013580322265625e-05 |  0.0   |
|        15       | 12.5 |        13       |   25  | 3  |     False      |       208        | 3.910064697265625e-05  |  0.0   |
|        15       | 12.5 |        13       |   50  | 7  |     False      |       208        | 6.604194641113281e-05  |  0.0   |
|        15       | 12.5 |        13       |   75  | 11 |     False      |       208        | 9.393692016601562e-05  |  0.0   |
|        15       |  25  |        26       |   12  | 1  |     False      |        1         | 1.0013580322265625e-05 |  0.0   |
|        15       |  25  |        26       |   25  | 3  |      True      |        9         |  2.09808349609375e-05  |  0.0   |
|        15       |  25  |        26       |   50  | 7  |     False      |       255        | 5.793571472167969e-05  |  0.0   |
|        15       |  25  |        26       |   75  | 11 |     False      |       255        | 9.393692016601562e-05  |  0.0   |
|        15       |  50  |        52       |   12  | 1  |     False      |        1         | 7.152557373046875e-06  |  0.0   |
|        15       |  50  |        52       |   25  | 3  |      True      |        8         | 1.5020370483398438e-05 |  0.0   |
|        15       |  50  |        52       |   50  | 7  |     False      |       295        |  5.91278076171875e-05  |  0.0   |
|        15       |  50  |        52       |   75  | 11 |     False      |       295        | 0.0001049041748046875  |  0.0   |
|        15       |  75  |        79       |   12  | 1  |     False      |        1         | 6.9141387939453125e-06 |  0.0   |
|        15       |  75  |        79       |   25  | 3  |      True      |        6         | 1.6927719116210938e-05 |  0.0   |
|        15       |  75  |        79       |   50  | 7  |     False      |       361        | 7.295608520507812e-05  |  0.0   |
|        15       |  75  |        79       |   75  | 11 |     False      |       361        | 0.00012922286987304688 |  0.0   |
|        16       | 12.5 |        15       |   12  | 1  |     False      |        1         | 6.9141387939453125e-06 |  0.0   |
|        16       | 12.5 |        15       |   25  | 4  |     False      |       270        |  4.1961669921875e-05   |  0.0   |
|        16       | 12.5 |        15       |   50  | 8  |     False      |       270        | 7.605552673339844e-05  |  0.0   |
|        16       | 12.5 |        15       |   75  | 12 |     False      |       270        | 0.00011110305786132812 |  0.0   |
|        16       |  25  |        30       |   12  | 1  |     False      |        1         | 6.9141387939453125e-06 |  0.0   |
|        16       |  25  |        30       |   25  | 4  |     False      |       292        | 4.792213439941406e-05  |  0.0   |
|        16       |  25  |        30       |   50  | 8  |     False      |       292        | 8.988380432128906e-05  |  0.0   |
|        16       |  25  |        30       |   75  | 12 |     False      |       292        | 0.0001308917999267578  |  0.0   |
|        16       |  50  |        60       |   12  | 1  |     False      |        1         | 6.9141387939453125e-06 |  0.0   |
|        16       |  50  |        60       |   25  | 4  |      True      |        9         | 1.6927719116210938e-05 |  0.0   |
|        16       |  50  |        60       |   50  | 8  |     False      |       357        | 6.985664367675781e-05  |  0.0   |
|        16       |  50  |        60       |   75  | 12 |     False      |       357        | 0.00012493133544921875 |  0.0   |
|        16       |  75  |        90       |   12  | 1  |     False      |        1         | 1.0013580322265625e-05 |  0.0   |
|        16       |  75  |        90       |   25  | 4  |      True      |        11        | 1.811981201171875e-05  |  0.0   |
|        16       |  75  |        90       |   50  | 8  |     False      |       443        | 8.821487426757812e-05  |  0.0   |
|        16       |  75  |        90       |   75  | 12 |     False      |       443        | 0.00015306472778320312 |  0.0   |
|        17       | 12.5 |        17       |   12  | 2  |      True      |        1         |  5.7220458984375e-06   |  0.0   |
|        17       | 12.5 |        17       |   25  | 4  |     False      |       306        | 4.982948303222656e-05  |  0.0   |
|        17       | 12.5 |        17       |   50  | 8  |     False      |       306        | 8.869171142578125e-05  |  0.0   |
|        17       | 12.5 |        17       |   75  | 12 |     False      |       306        | 0.00012803077697753906 |  0.0   |
|        17       |  25  |        34       |   12  | 2  |      True      |        1         | 1.0967254638671875e-05 |  0.0   |
|        17       |  25  |        34       |   25  | 4  |     False      |       334        | 5.793571472167969e-05  |  0.0   |
|        17       |  25  |        34       |   50  | 8  |     False      |       334        | 0.00010776519775390625 |  0.0   |
|        17       |  25  |        34       |   75  | 12 |     False      |       334        | 0.00015687942504882812 |  0.0   |
|        17       |  50  |        68       |   12  | 2  |      True      |        1         | 6.9141387939453125e-06 |  0.0   |
|        17       |  50  |        68       |   25  | 4  |      True      |        13        | 1.621246337890625e-05  |  0.0   |
|        17       |  50  |        68       |   50  | 8  |     False      |       410        | 7.700920104980469e-05  |  0.0   |
|        17       |  50  |        68       |   75  | 12 |     False      |       410        | 0.00013589859008789062 |  0.0   |
