Nodes,Percentagem,Edges,Different_k,Basic_Operations,Time,Memory
120,50,2782,6,47729,0.047708988189697266,0.0
120,75,3753,8,349532,0.28066301345825195,0.0
121,12,827,3,1532,0.0024662017822265625,0.0
121,25,1610,4,5977,0.005321979522705078,0.0
121,50,2888,6,53667,0.04280495643615723,0.0
121,75,3844,8,464022,0.3775441646575928,2.171875
122,12,835,2,1526,0.002644062042236328,0.0
122,25,1647,4,5808,0.004942893981933594,0.0
122,50,2909,6,56076,0.04551863670349121,0.0
122,75,3921,8,491193,0.4228799343109131,0.0
123,12,846,3,1643,0.0028328895568847656,0.0
123,25,1659,4,6025,0.005141019821166992,0.0
123,50,2949,6,59291,0.04799914360046387,0.0
123,75,4005,7,521492,0.4360840320587158,80.75
124,12,857,2,1571,0.0029439926147460938,0.0
124,25,1676,4,5782,0.005321979522705078,0.0
124,50,2966,7,56393,0.04712677001953125,0.0
124,75,4022,8,538175,0.45165586471557617,0.0
125,12,875,3,1693,0.002892732620239258,0.0
125,25,1713,4,5974,0.005173683166503906,0.0
125,50,3035,6,61497,0.049626827239990234,0.0
125,75,4108,8,540967,0.4488098621368408,45.984375
126,12,879,3,1706,0.003175020217895508,0.0
126,25,1723,4,6160,0.005324125289916992,0.0
126,50,3096,6,61310,0.06255197525024414,0.0
126,75,4174,8,585881,0.47034382820129395,0.0
127,12,897,2,1759,0.0035271644592285156,0.0
127,25,1754,4,6526,0.00579833984375,0.0
127,50,3189,7,68353,0.05527687072753906,0.0
127,75,4226,8,587332,0.48592615127563477,3.796875
128,12,927,3,1674,0.0030820369720458984,0.0
128,25,1800,4,6655,0.005962848663330078,0.0
128,50,3202,6,64890,0.05240201950073242,0.125
128,75,4258,8,601324,0.5012919902801514,0.0
129,12,920,2,1755,0.0032968521118164062,0.0
129,25,1836,4,7001,0.00616908073425293,0.0
129,50,3257,6,67868,0.05501103401184082,0.0
129,75,4377,8,716477,0.5846061706542969,7.46875
130,12,951,3,1793,0.0034050941467285156,0.03125
130,25,1865,4,7020,0.006005048751831055,0.046875
130,50,3303,6,71442,0.05838799476623535,0.015625
130,75,4445,8,688181,0.5720818042755127,0.0
131,12,960,3,1843,0.003373861312866211,0.0
131,25,1878,4,6946,0.0060176849365234375,0.0
131,50,3347,6,70962,0.06954216957092285,0.0
131,75,4514,8,787148,0.6776328086853027,66.578125
132,12,996,3,1949,0.003847837448120117,4.953125
132,25,1909,4,7290,0.0066449642181396484,1.53125
132,50,3373,7,72227,0.06124997138977051,0.0
132,75,4589,9,795067,0.6654658317565918,0.0
133,12,993,3,1853,0.0037162303924560547,0.0
