+-----------------+------+-----------------+-------+----+----------------+------------------+------------------------+--------+
| Number of Nodes |  %   | Number of Edges | (%) k | k  | Clique size k? | Basic Operations |          Time          | Memory |
|        20       | 12.5 |        24       |   25  | 5  |     False      |       425        |  5.91278076171875e-05  |  0.0   |
|        20       | 12.5 |        24       |   50  | 10 |     False      |       425        | 0.00011110305786132812 |  0.0   |
|        20       | 12.5 |        24       |   75  | 15 |     False      |       425        | 0.0001621246337890625  |  0.0   |
|        20       |  25  |        48       |   12  | 2  |      True      |        1         | 5.9604644775390625e-06 |  0.0   |
|        20       |  25  |        48       |   25  | 5  |     False      |       471        | 6.985664367675781e-05  |  0.0   |
|        20       |  25  |        48       |   50  | 10 |     False      |       471        | 0.00013184547424316406 |  0.0   |
|        20       |  25  |        48       |   75  | 15 |     False      |       471        | 0.00019311904907226562 |  0.0   |
|        20       |  50  |        95       |   12  | 2  |      True      |        1         | 6.9141387939453125e-06 |  0.0   |
|        20       |  50  |        95       |   25  | 5  |     False      |       553        | 8.702278137207031e-05  |  0.0   |
|        20       |  50  |        95       |   50  | 10 |     False      |       553        | 0.00016379356384277344 |  0.0   |
|        20       |  50  |        95       |   75  | 15 |     False      |       553        | 0.00024199485778808594 |  0.0   |
|        20       |  75  |       142       |   12  | 2  |      True      |        1         | 6.198883056640625e-06  |  0.0   |
|        20       |  75  |       142       |   25  | 5  |      True      |        15        | 1.4066696166992188e-05 |  0.0   |
|        20       |  75  |       142       |   50  | 10 |     False      |       725        | 0.00012111663818359375 |  0.0   |
|        20       |  75  |       142       |   75  | 15 |     False      |       725        |  0.000225067138671875  |  0.0   |
|        21       | 12.5 |        26       |   12  | 2  |      True      |        1         | 5.9604644775390625e-06 |  0.0   |
|        21       | 12.5 |        26       |   25  | 5  |     False      |       470        | 6.508827209472656e-05  |  0.0   |
|        21       | 12.5 |        26       |   50  | 10 |     False      |       470        | 0.0001201629638671875  |  0.0   |
|        21       | 12.5 |        26       |   75  | 15 |     False      |       470        | 0.0001761913299560547  |  0.0   |
|        21       |  25  |        52       |   12  | 2  |      True      |        1         | 6.9141387939453125e-06 |  0.0   |
|        21       |  25  |        52       |   25  | 5  |     False      |       518        | 7.510185241699219e-05  |  0.0   |
|        21       |  25  |        52       |   50  | 10 |     False      |       518        | 0.00014281272888183594 |  0.0   |
|        21       |  25  |        52       |   75  | 15 |     False      |       518        | 0.00021004676818847656 |  0.0   |
|        21       |  50  |       105       |   12  | 2  |      True      |        1         | 1.0013580322265625e-05 |  0.0   |
|        21       |  50  |       105       |   25  | 5  |      True      |        27        |  1.9073486328125e-05   |  0.0   |
|        21       |  50  |       105       |   50  | 10 |     False      |       636        | 0.00011396408081054688 |  0.0   |
|        21       |  50  |       105       |   75  | 15 |     False      |       636        | 0.00021004676818847656 |  0.0   |
|        21       |  75  |       158       |   12  | 2  |      True      |        1         | 6.9141387939453125e-06 |  0.0   |
|        21       |  75  |       158       |   25  | 5  |      True      |        19        | 1.5974044799804688e-05 |  0.0   |
