+-----------------+----+-----------------+------------------------------------------+-------------+------------------------+
| Number of Nodes | %  | Number of Edges |                 Cliques                  | Different k |          Time          |
|        68       | 75 |       1202      |         [2, 3, 4, 5, 6, 7, 8, 9]         |      8      |  0.017074108123779297  |
|        69       | 12 |       265       |               [2, 3, 4, 5]               |      4      | 0.0011630058288574219  |
|        69       | 25 |       504       |             [2, 3, 4, 5, 6]              |      5      | 0.0025479793548583984  |
|        69       | 50 |       903       |          [2, 3, 4, 5, 6, 7, 8]           |      7      |  0.006116151809692383  |
|        69       | 75 |       1219      |       [2, 3, 4, 5, 6, 7, 8, 9, 10]       |      9      |  0.01818704605102539   |
|        70       | 12 |       269       |               [2, 3, 4, 5]               |      4      | 0.0011379718780517578  |
|        70       | 25 |       527       |             [2, 3, 4, 5, 6]              |      5      | 0.0023610591888427734  |
|        70       | 50 |       928       |            [2, 3, 4, 5, 6, 7]            |      6      |  0.005419731140136719  |
|        70       | 75 |       1244      |         [2, 3, 4, 5, 6, 7, 8, 9]         |      8      |  0.015423774719238281  |
|        71       | 12 |       284       |               [2, 3, 4, 5]               |      4      | 0.0012390613555908203  |
|        71       | 25 |       543       |             [2, 3, 4, 5, 6]              |      5      |  0.002382993698120117  |
|        71       | 50 |       973       |          [2, 3, 4, 5, 6, 7, 8]           |      7      |  0.007626056671142578  |
|        71       | 75 |       1314      |         [2, 3, 4, 5, 6, 7, 8, 9]         |      8      |  0.020429134368896484  |
|        72       | 12 |       284       |               [2, 3, 4, 5]               |      4      | 0.0010750293731689453  |
|        72       | 25 |       553       |            [2, 3, 4, 5, 6, 7]            |      6      |  0.002919912338256836  |
|        72       | 50 |       996       |            [2, 3, 4, 5, 6, 7]            |      6      |    0.0067138671875     |
|        72       | 75 |       1341      |         [2, 3, 4, 5, 6, 7, 8, 9]         |      8      |  0.019510984420776367  |
|        73       | 12 |       293       |               [2, 3, 4, 5]               |      4      | 0.0011391639709472656  |
|        73       | 25 |       573       |             [2, 3, 4, 5, 6]              |      5      |  0.002273082733154297  |
|        73       | 50 |       1029      |          [2, 3, 4, 5, 6, 7, 8]           |      7      |  0.007509946823120117  |
|        73       | 75 |       1398      |       [2, 3, 4, 5, 6, 7, 8, 9, 10]       |      9      |  0.024370908737182617  |
|        74       | 12 |       306       |               [2, 3, 4, 5]               |      4      | 0.0012428760528564453  |
|        74       | 25 |       597       |             [2, 3, 4, 5, 6]              |      5      | 0.0027039051055908203  |
|        74       | 50 |       1053      |          [2, 3, 4, 5, 6, 7, 8]           |      7      |  0.008582353591918945  |
|        74       | 75 |       1416      |       [2, 3, 4, 5, 6, 7, 8, 9, 10]       |      9      |  0.02224111557006836   |
|        75       | 12 |       319       |               [2, 3, 4, 5]               |      4      | 0.0013651847839355469  |
